freq,coicop,geo\TIME_PERIOD	2019 	2020 	2021 	2022 
A,CP07112,EE	14.60 	16.51 	17.45 	17.23 
A,CP0712,EE	0.00 	0.00 	0.00 	0.00 
A,CP0712-0714,EE	1.56 	1.36 	3.41 	3.03 
A,CP0713,EE	1.56 	1.36 	3.41 	3.03 
A,CP0714,EE	0.00 	0.00 	0.00 	0.00 
A,CP072,EE	64.53 	69.22 	68.18 	77.50 
A,CP0721,EE	5.75 	5.92 	6.25 	5.73 
A,CP07211,EE	1.51 	1.62 	1.59 	1.38 
A,CP07212,EE	3.48 	3.39 	2.84 	2.67 
A,CP07213,EE	0.76 	0.91 	1.82 	1.68 
A,CP0722,EE	49.47 	53.26 	49.25 	58.09 
A,CP07221,EE	19.98 	20.97 	18.86 	24.09 
A,CP07222,EE	29.24 	32.01 	30.02 	33.63 
A,CP07223,EE	0.00 	0.00 	0.00 	0.00 
A,CP07224,EE	0.25 	0.28 	0.37 	0.37 
A,CP0723,EE	6.54 	6.75 	8.52 	8.98 
A,CP0724,EE	2.76 	3.28 	4.16 	4.71 
A,CP07241,EE	0.83 	1.03 	1.30 	1.17 
A,CP07242,EE	0.00 	0.00 	0.00 	0.00 
A,CP07243,EE	1.94 	2.25 	2.86 	3.54 
A,CP073,EE	37.33 	34.81 	21.77 	21.38 
A,CP0731,EE	3.00 	3.05 	2.68 	2.10 
A,CP07311,EE	3.00 	3.05 	2.68 	2.10 
A,CP07312,EE	0.00 	0.00 	0.00 	0.00 
A,CP0732,EE	14.04 	12.46 	10.79 	10.74 
A,CP07321,EE	12.03 	10.44 	8.74 	8.61 
A,CP07322,EE	2.01 	2.01 	2.05 	2.13 
A,CP0733,EE	11.85 	11.54 	3.50 	4.49 
A,CP07331,EE	0.00 	0.00 	0.00 	0.00 
A,CP07332,EE	11.85 	11.54 	3.50 	4.49 
A,CP0734,EE	7.33 	6.74 	3.82 	3.51 
A,CP07341,EE	7.33 	6.74 	3.82 	3.51 
A,CP07342,EE	0.00 	0.00 	0.00 	0.00 
A,CP0735,EE	1.10 	1.01 	0.98 	0.53 
A,CP0736,EE	0.00 	0.00 	0.00 	0.00 
A,CP07361,EE	0.00 	0.00 	0.00 	0.00 
A,CP07362,EE	0.00 	0.00 	0.00 	0.00 
A,CP07369,EE	0.00 	0.00 	0.00 	0.00 
A,CP08,EE	41.01 	41.88 	48.87 	44.35 
A,CP081,EE	1.35 	1.40 	1.79 	2.08 
A,CP08101,EE	0.24 	0.14 	0.16 	0.42 
A,CP08109,EE	1.11 	1.26 	1.63 	1.66 
A,CP0820,EE	3.30 	4.83 	5.49 	4.32 
A,CP08201,EE	0.00 	0.00 	0.00 	0.00 
A,CP08202,EE	3.30 	4.83 	5.49 	4.32 
A,CP08203,EE	0.00 	0.00 	0.00 	0.00 
A,CP08204,EE	0.00 	0.00 	0.00 	0.00 
A,CP082_083,EE	39.66 	40.47 	47.08 	42.27 
A,CP0830,EE	36.37 	35.64 	41.59 	37.95 
A,CP08301,EE	0.78 	0.68 	0.59 	0.44 
A,CP08302,EE	16.61 	16.83 	21.17 	18.81 
A,CP08303,EE	0.00 	0.00 	0.00 	0.00 
A,CP08304,EE	18.97 	18.13 	19.83 	18.70 
A,CP08305,EE	0.00 	0.00 	0.00 	0.00 
A,CP09,EE	96.66 	95.92 	77.64 	77.09 
A,CP091,EE	12.92 	12.25 	11.62 	11.55 
A,CP0911,EE	5.89 	5.35 	4.60 	4.37 
A,CP09111,EE	0.77 	0.59 	0.28 	0.31 
A,CP09112,EE	5.12 	4.76 	4.32 	4.06 
A,CP09113,EE	0.00 	0.00 	0.00 	0.00 
A,CP09119,EE	0.00 	0.00 	0.00 	0.00 
A,CP0912,EE	0.62 	0.50 	0.26 	0.33 
A,CP09121,EE	0.62 	0.50 	0.26 	0.33 
A,CP09122,EE	0.00 	0.00 	0.00 	0.00 
A,CP09123,EE	0.00 	0.00 	0.00 	0.00 
A,CP0913,EE	5.23 	5.45 	6.13 	6.23 
A,CP09131,EE	4.31 	4.67 	3.96 	4.18 
A,CP09132,EE	0.75 	0.66 	1.93 	1.79 
A,CP09133,EE	0.17 	0.12 	0.24 	0.26 
A,CP09134,EE	0.00 	0.00 	0.00 	0.00 
A,CP0914,EE	0.74 	0.70 	0.43 	0.35 
A,CP09141,EE	0.60 	0.59 	0.37 	0.32 
A,CP09142,EE	0.14 	0.11 	0.06 	0.03 
A,CP09149,EE	0.00 	0.00 	0.00 	0.00 
A,CP0915,EE	0.43 	0.25 	0.20 	0.26 
A,CP092,EE	0.00 	0.00 	0.00 	0.00 
A,CP0921,EE	0.00 	0.00 	0.00 	0.00 
A,CP09211,EE	0.00 	0.00 	0.00 	0.00 
A,CP09212,EE	0.00 	0.00 	0.00 	0.00 
A,CP09213,EE	0.00 	0.00 	0.00 	0.00 
A,CP09214,EE	0.00 	0.00 	0.00 	0.00 
A,CP09215,EE	0.00 	0.00 	0.00 	0.00 
A,CP0921_0922,EE	0.00 	0.00 	0.00 	0.00 
A,CP0922,EE	0.00 	0.00 	0.00 	0.00 
A,CP09221,EE	0.00 	0.00 	0.00 	0.00 
A,CP09222,EE	0.00 	0.00 	0.00 	0.00 
A,CP0923,EE	0.00 	0.00 	0.00 	0.00 
A,CP093,EE	28.61 	29.64 	31.38 	29.21 
A,CP0931,EE	7.10 	6.70 	5.56 	5.28 
A,CP09311,EE	1.83 	1.78 	1.27 	1.22 
A,CP09312,EE	5.27 	4.92 	4.30 	4.06 
A,CP0932,EE	4.19 	4.37 	4.95 	4.85 
A,CP09321,EE	4.19 	4.37 	4.95 	4.85 
A,CP09322,EE	0.00 	0.00 	0.00 	0.00 
A,CP09323,EE	0.00 	0.00 	0.00 	0.00 
A,CP0933,EE	7.76 	8.62 	9.25 	8.57 
A,CP09331,EE	1.53 	1.82 	2.85 	2.31 
A,CP09332,EE	6.23 	6.80 	6.40 	6.25 
A,CP0934,EE	8.30 	8.57 	9.82 	9.20 
A,CP09341,EE	0.00 	0.00 	0.00 	0.00 
A,CP09342,EE	8.30 	8.57 	9.82 	9.20 
A,CP0934_0935,EE	9.56 	9.95 	11.62 	10.51 
A,CP0935,EE	1.26 	1.38 	1.79 	1.31 
A,CP094,EE	24.83 	27.71 	19.39 	17.09 
A,CP0941,EE	12.51 	13.35 	11.85 	10.64 
A,CP09411,EE	1.42 	2.12 	1.63 	1.66 
A,CP09412,EE	11.09 	11.22 	10.22 	8.98 
A,CP0942,EE	12.32 	14.36 	7.54 	6.45 
A,CP09421,EE	8.30 	9.69 	4.39 	3.77 
A,CP09422,EE	2.02 	2.33 	1.63 	1.04 
A,CP09423,EE	1.79 	1.79 	1.42 	1.45 
A,CP09424,EE	0.00 	0.00 	0.00 	0.00 
A,CP09425,EE	0.22 	0.56 	0.11 	0.20 
A,CP09429,EE	0.00 	0.00 	0.00 	0.00 
A,CP095,EE	11.54 	9.62 	10.92 	10.02 
A,CP0951,EE	3.68 	3.26 	3.52 	3.94 
A,CP09511,EE	2.52 	2.18 	2.37 	2.70 
A,CP09512,EE	0.00 	0.00 	0.00 	0.00 
A,CP09513,EE	1.16 	1.08 	1.15 	1.24 
A,CP09514,EE	0.00 	0.00 	0.00 	0.00 
A,CP0952,EE	5.70 	4.37 	4.41 	4.03 
A,CP09521,EE	3.49 	2.42 	2.39 	2.16 
A,CP09522,EE	2.22 	1.95 	2.02 	1.86 
A,CP0953,EE	0.00 	0.00 	0.00 	0.00 
A,CP0953_0954,EE	2.15 	1.99 	2.99 	2.05 
A,CP0954,EE	2.15 	1.99 	2.99 	2.05 
A,CP09541,EE	0.78 	0.73 	1.14 	0.97 
A,CP09549,EE	1.37 	1.26 	1.85 	1.08 
A,CP096,EE	18.76 	16.71 	4.33 	9.22 
A,CP09601,EE	0.00 	0.00 	0.00 	0.00 
A,CP09602,EE	18.76 	16.71 	4.33 	9.22 
A,CP10,EE	10.90 	11.21 	10.44 	12.00 
A,CP101,EE	4.07 	4.27 	2.82 	3.46 
A,CP10101,EE	4.07 	4.27 	2.82 	3.46 
A,CP10102,EE	0.00 	0.00 	0.00 	0.00 
A,CP102,EE	0.00 	0.00 	0.00 	0.00 
A,CP103,EE	0.00 	0.00 	0.00 	0.00 
A,CP104,EE	4.64 	4.79 	5.31 	6.31 
A,CP105,EE	2.19 	2.16 	2.30 	2.23 
A,CP11,EE	104.97 	105.11 	57.18 	54.94 
A,CP111,EE	79.07 	80.01 	43.81 	36.05 
A,CP1111,EE	51.68 	55.82 	32.71 	28.72 
A,CP11111,EE	43.11 	47.36 	23.08 	18.25 
A,CP11112,EE	8.57 	8.46 	9.64 	10.47 
A,CP1112,EE	27.39 	24.19 	11.10 	7.33 
A,CP112,EE	25.90 	25.11 	13.36 	18.89 
A,CP11201,EE	22.15 	21.55 	11.10 	17.52 
A,CP11202,EE	0.00 	0.00 	0.00 	0.00 
A,CP11203,EE	3.75 	3.55 	2.26 	1.37 
A,CP12,EE	53.19 	54.85 	59.53 	58.40 
A,CP121,EE	29.39 	29.23 	30.53 	29.61 
A,CP1211,EE	7.75 	8.85 	8.76 	9.18 
A,CP12111,EE	1.18 	1.58 	1.10 	1.31 
A,CP12112,EE	5.05 	5.71 	5.97 	5.85 
A,CP12113,EE	1.52 	1.56 	1.69 	2.03 
A,CP1212,EE	0.54 	0.77 	0.58 	0.40 
A,CP12121,EE	0.54 	0.77 	0.58 	0.40 
A,CP12122,EE	0.00 	0.00 	0.00 	0.00 
A,CP1212_1213,EE	21.64 	20.37 	21.78 	20.43 
A,CP1213,EE	21.10 	19.60 	21.19 	20.03 
A,CP12131,EE	1.30 	1.33 	1.52 	1.57 
A,CP12132,EE	19.80 	18.27 	19.67 	18.46 
A,CP123,EE	7.16 	7.76 	7.61 	7.44 
A,CP1231,EE	2.39 	2.43 	2.32 	2.56 
A,CP12311,EE	1.79 	1.76 	1.48 	2.15 
A,CP12312,EE	0.49 	0.52 	0.67 	0.31 
A,CP12313,EE	0.11 	0.15 	0.17 	0.10 
A,CP1232,EE	4.76 	5.33 	5.30 	4.88 
A,CP12321,EE	2.31 	2.50 	1.98 	1.34 
A,CP12322,EE	0.89 	0.94 	1.00 	0.70 
A,CP12323,EE	0.00 	0.00 	0.00 	0.00 
A,CP12329,EE	1.56 	1.89 	2.32 	2.84 
A,CP124,EE	5.65 	6.06 	8.10 	8.03 
A,CP12401,EE	0.00 	0.00 	0.00 	0.00 
A,CP12402,EE	5.65 	6.06 	8.10 	8.03 
A,CP12403,EE	0.00 	0.00 	0.00 	0.00 
A,CP12404,EE	0.00 	0.00 	0.00 	0.00 
A,CP125,EE	5.26 	6.03 	6.36 	5.91 
A,CP1252,EE	0.67 	0.78 	0.93 	0.79 
A,CP1253,EE	0.00 	0.00 	0.00 	0.00 
A,CP12532,EE	0.00 	0.00 	0.00 	0.00 
A,CP1254,EE	4.13 	4.60 	4.84 	4.60 
A,CP12541,EE	3.46 	3.82 	4.46 	3.92 
A,CP12542,EE	0.67 	0.78 	0.38 	0.68 
A,CP1255,EE	0.47 	0.64 	0.58 	0.52 
A,CP126,EE	1.18 	1.18 	1.47 	1.45 
A,CP12621,EE	1.18 	1.18 	1.47 	1.45 
A,CP12622,EE	0.00 	0.00 	0.00 	0.00 
A,CP127,EE	4.56 	4.60 	5.45 	5.95 
A,CP12701,EE	3.38 	3.30 	3.78 	3.89 
A,CP12702,EE	0.22 	0.19 	0.28 	0.25 
A,CP12703,EE	0.46 	0.49 	0.56 	1.06 
A,CP12704,EE	0.50 	0.62 	0.84 	0.75 
A,EDUC_HLTH_SPR,EE	64.36 	66.08 	79.41 	74.28 
A,ELC_GAS,EE	70.69 	66.64 	75.69 	100.80 
A,FOOD,EE	265.10 	259.40 	287.74 	264.06 
A,FOOD_NP,EE	38.76 	39.16 	44.86 	43.43 
A,FOOD_P,EE	226.34 	220.24 	242.87 	220.63 
A,FOOD_P_X_ALC_TBC,EE	151.78 	148.95 	175.88 	165.51 
A,FOOD_S,EE	24.15 	24.68 	28.26 	26.40 
A,FUEL,EE	49.55 	53.33 	49.18 	58.06 
A,GD,EE	666.94 	663.97 	715.28 	718.82 
A,IGD,EE	401.84 	404.57 	427.55 	454.76 
A,IGD_NNRG,EE	281.60 	284.61 	302.67 	295.89 
A,IGD_NNRG_D,EE	82.28 	85.65 	97.25 	101.19 
A,IGD_NNRG_ND,EE	88.31 	86.09 	100.50 	92.68 
A,IGD_NNRG_SD,EE	111.00 	112.87 	104.92 	102.02 
A,NRG,EE	120.24 	119.96 	124.87 	158.87 
A,NRG_FOOD_NP,EE	159.00 	159.12 	169.73 	202.30 
A,NRG_FOOD_S,EE	144.39 	144.64 	153.13 	185.26 
A,SERV,EE	333.06 	336.03 	284.72 	281.18 
A,SERV_COM,EE	37.72 	37.04 	43.37 	40.03 
A,SERV_HOUS,EE	38.83 	40.56 	51.90 	53.42 
A,SERV_MSC,EE	47.89 	49.39 	59.45 	56.45 
A,SERV_REC,EE	157.87 	159.59 	90.71 	91.61 
A,SERV_REC_HOA,EE	44.65 	41.81 	17.69 	28.11 
A,SERV_REC_X_HOA,EE	113.21 	117.78 	73.02 	63.50 
A,SERV_TRA,EE	50.76 	49.45 	39.29 	39.66 
A,TOT_X_ALC_TBC,EE	925.43 	928.70 	933.00 	944.88 
A,TOT_X_AP,EE	909.80 	917.07 	905.18 	878.53 
A,TOT_X_APF,EE	996.15 	996.37 	995.79 	995.44 
A,TOT_X_APM,EE	913.64 	920.70 	909.40 	883.08 
A,TOT_X_EDUC_HLTH_SPR,EE	935.64 	933.92 	920.59 	925.72 
A,TOT_X_FOOD_S,EE	975.85 	975.32 	971.74 	973.60 
A,TOT_X_FUEL,EE	950.45 	946.67 	950.82 	941.94 
A,TOT_X_HOUS,EE	878.04 	880.85 	857.55 	832.30 
A,TOT_X_NRG,EE	879.76 	880.04 	875.13 	841.13 
A,TOT_X_NRG_FOOD,EE	614.66 	620.63 	587.39 	577.07 
A,TOT_X_NRG_FOOD_NP,EE	841.00 	840.88 	830.27 	797.70 
A,TOT_X_NRG_FOOD_S,EE	855.61 	855.36 	846.87 	814.74 
A,TOT_X_TBC,EE	976.90 	977.00 	979.08 	983.90 
