freq,unit,coicop,geo\TIME_PERIOD	2021-08 	2021-09 	2021-10 	2021-11 	2021-12 	2022-01 	2022-02 	2022-03 	2022-04 	2022-05 
M,RCH_M,CP062,EE	0.3 	0.3 	0.3 	0.6 	2.2 	1.7 	0.6 	0.2 	2.0 	: 
M,RCH_M,CP0621,EE	0.0 	0.5 	1.1 	0.0 	0.2 	0.7 	2.4 	0.4 	0.4 	: 
M,RCH_M,CP06212,EE	0.0 	0.5 	1.1 	0.0 	0.2 	0.7 	2.4 	0.4 	0.4 	: 
M,RCH_M,CP0621_0623,EE	0.1 	0.4 	0.7 	0.2 	0.1 	1.6 	1.5 	0.7 	1.0 	: 
M,RCH_M,CP0622,EE	0.5 	0.3 	0.2 	0.7 	3.2 	1.7 	0.2 	0.0 	2.5 	: 
M,RCH_M,CP0623,EE	0.1 	0.3 	0.0 	0.5 	0.0 	2.5 	0.5 	1.1 	1.6 	: 
M,RCH_M,CP06239,EE	0.1 	0.3 	0.0 	0.5 	0.0 	2.5 	0.5 	1.1 	1.6 	: 
M,RCH_M,CP063,EE	0.2 	0.0 	0.0 	0.0 	0.4 	0.0 	0.0 	-0.8 	1.5 	: 
M,RCH_M,CP07,EE	0.6 	0.1 	3.6 	1.8 	0.0 	1.2 	3.5 	8.7 	-0.8 	: 
M,RCH_M,CP071,EE	0.8 	1.9 	3.2 	2.5 	1.2 	0.2 	0.9 	0.8 	0.9 	: 
M,RCH_M,CP0711,EE	1.3 	2.1 	3.7 	2.6 	1.2 	0.2 	0.7 	0.7 	0.6 	: 
M,RCH_M,CP07111,EE	0.6 	1.6 	2.8 	2.0 	0.4 	0.2 	0.0 	0.6 	0.8 	: 
M,RCH_M,CP07112,EE	2.0 	2.6 	4.7 	3.1 	2.1 	0.1 	1.8 	0.9 	0.3 	: 
M,RCH_M,CP0712-0714,EE	-3.7 	0.4 	-1.6 	2.0 	1.4 	-0.1 	3.3 	2.2 	5.8 	: 
M,RCH_M,CP0713,EE	-3.7 	0.4 	-1.6 	2.0 	1.4 	-0.1 	3.3 	2.2 	5.8 	: 
M,RCH_M,CP072,EE	-0.1 	0.5 	5.5 	2.2 	-2.0 	2.9 	5.1 	14.3 	-2.8 	: 
M,RCH_M,CP0721,EE	-0.3 	1.2 	1.5 	0.3 	0.4 	0.8 	3.1 	1.1 	0.8 	: 
M,RCH_M,CP07211,EE	-0.9 	0.4 	4.0 	0.1 	-0.7 	1.4 	2.2 	1.6 	2.0 	: 
M,RCH_M,CP07212,EE	-0.3 	-0.1 	0.1 	0.0 	0.9 	0.4 	3.3 	0.2 	0.6 	: 
M,RCH_M,CP07213,EE	0.2 	4.1 	1.7 	0.7 	0.4 	1.1 	3.3 	2.2 	0.2 	: 
M,RCH_M,CP0722,EE	-0.1 	0.4 	6.8 	2.5 	-2.8 	3.2 	6.3 	18.5 	-3.8 	: 
M,RCH_M,CP07221,EE	0.1 	1.1 	8.0 	2.9 	-2.6 	4.5 	7.1 	25.2 	-4.4 	: 
M,RCH_M,CP07222,EE	-0.1 	0.0 	6.1 	2.2 	-3.0 	2.3 	5.7 	13.8 	-3.3 	: 
M,RCH_M,CP07224,EE	0.2 	1.2 	0.6 	0.0 	0.7 	1.7 	1.0 	-0.4 	0.6 	: 
M,RCH_M,CP0723,EE	0.0 	0.1 	2.0 	2.9 	0.6 	2.4 	1.0 	0.3 	0.7 	: 
M,RCH_M,CP0724,EE	0.1 	0.9 	0.2 	0.2 	0.1 	1.9 	0.1 	1.0 	0.7 	: 
M,RCH_M,CP07241,EE	0.0 	-0.3 	0.2 	0.2 	0.2 	0.3 	0.2 	0.0 	-0.5 	: 
M,RCH_M,CP07243,EE	0.2 	1.3 	0.2 	0.2 	0.1 	2.5 	0.1 	1.3 	1.1 	: 
M,RCH_M,CP073,EE	2.4 	-4.8 	-1.9 	-1.2 	5.3 	-2.6 	3.2 	4.2 	4.3 	: 
M,RCH_M,CP0731,EE	0.0 	0.0 	0.0 	0.0 	0.0 	9.3 	0.0 	0.0 	0.0 	: 
M,RCH_M,CP07311,EE	0.0 	0.0 	0.0 	0.0 	0.0 	9.3 	0.0 	0.0 	0.0 	: 
M,RCH_M,CP0732,EE	1.0 	-1.3 	-2.4 	-2.1 	0.5 	2.4 	0.0 	0.8 	4.8 	: 
M,RCH_M,CP07321,EE	1.3 	-1.8 	-2.8 	-2.3 	0.3 	2.3 	0.0 	-0.5 	5.2 	: 
M,RCH_M,CP07322,EE	-0.2 	0.7 	-1.1 	-1.4 	1.2 	3.2 	-0.3 	6.0 	3.2 	: 
M,RCH_M,CP0733,EE	9.6 	-17.2 	-5.2 	0.2 	26.2 	-23.3 	18.1 	2.2 	9.5 	: 
M,RCH_M,CP07332,EE	9.6 	-17.2 	-5.2 	0.2 	26.2 	-23.3 	18.1 	2.2 	9.5 	: 
M,RCH_M,CP0734,EE	1.1 	-4.4 	0.9 	-0.8 	3.4 	1.1 	1.1 	20.1 	1.0 	: 
M,RCH_M,CP07341,EE	1.1 	-4.4 	0.9 	-0.8 	3.4 	1.1 	1.1 	20.1 	1.0 	: 
M,RCH_M,CP0735,EE	-0.9 	-0.7 	0.3 	-0.7 	0.4 	0.0 	-0.1 	0.0 	0.1 	: 
M,RCH_M,CP08,EE	-0.1 	-0.6 	0.2 	0.1 	-2.2 	-0.7 	-0.2 	1.0 	-0.2 	: 
M,RCH_M,CP081,EE	0.0 	0.0 	0.0 	0.0 	0.0 	-0.2 	0.0 	0.0 	0.0 	: 
M,RCH_M,CP08101,EE	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	: 
M,RCH_M,CP08109,EE	0.0 	0.0 	0.0 	0.0 	0.0 	-0.2 	0.0 	0.0 	0.0 	: 
M,RCH_M,CP0820,EE	-0.8 	-0.9 	1.6 	0.8 	-1.4 	-2.4 	-2.3 	-2.1 	-1.8 	: 
M,RCH_M,CP08202,EE	-0.8 	-0.9 	1.6 	0.8 	-1.4 	-2.4 	-2.3 	-2.1 	-1.8 	: 
M,RCH_M,CP082_083,EE	-0.1 	-0.6 	0.2 	0.1 	-2.2 	-0.7 	-0.2 	1.0 	-0.2 	: 
M,RCH_M,CP0830,EE	0.0 	-0.5 	0.0 	0.0 	-2.3 	-0.5 	0.0 	1.4 	0.0 	: 
M,RCH_M,CP08301,EE	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	: 
M,RCH_M,CP08302,EE	0.0 	-1.1 	0.0 	0.0 	-4.7 	-1.1 	0.0 	0.0 	0.0 	: 
M,RCH_M,CP08304,EE	0.0 	0.0 	0.0 	0.0 	0.0 	0.1 	0.0 	2.7 	0.0 	: 
M,RCH_M,CP09,EE	1.0 	0.3 	0.2 	0.9 	0.1 	-0.4 	1.7 	0.7 	2.1 	: 
M,RCH_M,CP091,EE	1.3 	0.1 	0.2 	0.6 	-0.1 	-1.7 	-0.3 	-0.6 	-0.6 	: 
M,RCH_M,CP0911,EE	1.7 	1.7 	-0.4 	0.3 	0.5 	-0.8 	0.5 	1.0 	-0.4 	: 
M,RCH_M,CP09111,EE	0.2 	2.0 	-0.4 	-0.1 	0.4 	1.7 	1.5 	-0.5 	-3.2 	: 
M,RCH_M,CP09112,EE	1.8 	1.7 	-0.4 	0.4 	0.5 	-1.0 	0.4 	1.1 	-0.2 	: 
M,RCH_M,CP0912,EE	3.7 	4.8 	0.0 	0.0 	-0.3 	0.9 	-0.9 	-2.7 	0.8 	: 
M,RCH_M,CP09121,EE	3.7 	4.8 	0.0 	0.0 	-0.3 	0.9 	-0.9 	-2.7 	0.8 	: 
M,RCH_M,CP0913,EE	-0.9 	-1.2 	-0.3 	0.9 	-0.5 	-1.3 	-0.7 	-1.1 	-1.5 	: 
M,RCH_M,CP09131,EE	-0.9 	-0.7 	-0.4 	0.3 	-0.1 	-1.8 	-1.2 	-1.7 	-2.2 	: 
M,RCH_M,CP09132,EE	-0.9 	-2.1 	0.9 	2.2 	-1.3 	-0.4 	0.4 	-0.1 	-0.2 	: 
M,RCH_M,CP09133,EE	0.0 	-2.4 	-7.2 	-0.1 	-0.1 	-0.3 	0.0 	0.5 	-0.1 	: 
M,RCH_M,CP0914,EE	31.0 	-3.0 	15.3 	-0.3 	-2.0 	-22.9 	-2.7 	-13.8 	9.2 	: 
M,RCH_M,CP09141,EE	37.3 	-3.7 	17.3 	-0.2 	-2.1 	-25.1 	-2.8 	-15.8 	11.0 	: 
M,RCH_M,CP09142,EE	1.7 	1.0 	3.0 	-1.2 	-1.2 	0.8 	-1.1 	2.8 	-2.2 	: 
M,RCH_M,CP0915,EE	0.0 	0.0 	1.0 	0.0 	0.0 	0.7 	0.0 	1.1 	6.1 	: 
M,RCH_M,CP093,EE	0.1 	1.4 	0.0 	2.0 	-1.5 	3.6 	0.3 	2.5 	0.9 	: 
M,RCH_M,CP0931,EE	-0.1 	-0.1 	0.4 	0.0 	-4.7 	5.8 	-1.1 	1.9 	1.0 	: 
M,RCH_M,CP09311,EE	0.7 	-0.5 	-0.7 	0.0 	-0.4 	1.1 	2.2 	4.1 	0.1 	: 
M,RCH_M,CP09312,EE	-0.3 	0.0 	0.8 	0.0 	-6.0 	7.2 	-2.0 	1.3 	1.2 	: 
M,RCH_M,CP0932,EE	-0.4 	1.7 	-0.5 	2.6 	-2.7 	0.6 	-0.2 	2.1 	-0.7 	: 
M,RCH_M,CP09321,EE	-0.4 	1.7 	-0.5 	2.6 	-2.7 	0.6 	-0.2 	2.1 	-0.7 	: 
M,RCH_M,CP0933,EE	1.2 	0.9 	-0.5 	1.3 	1.7 	2.1 	3.5 	2.3 	-0.2 	: 
M,RCH_M,CP09331,EE	-0.1 	1.2 	-0.7 	1.3 	1.7 	2.7 	-1.1 	2.4 	0.4 	: 
M,RCH_M,CP09332,EE	1.8 	0.8 	-0.3 	1.3 	1.7 	1.9 	5.3 	2.3 	-0.4 	: 
M,RCH_M,CP0934,EE	-0.7 	2.9 	0.4 	4.0 	-2.7 	5.8 	-2.0 	3.2 	2.8 	: 
M,RCH_M,CP09342,EE	-0.7 	2.9 	0.4 	4.0 	-2.7 	5.8 	-2.0 	3.2 	2.8 	: 
M,RCH_M,CP0934_0935,EE	-0.6 	2.4 	0.5 	3.4 	-1.9 	5.1 	-1.4 	3.0 	2.5 	: 
M,RCH_M,CP0935,EE	0.1 	-0.2 	0.9 	0.1 	2.7 	0.4 	3.4 	1.7 	0.7 	: 
M,RCH_M,CP094,EE	1.8 	-0.2 	-0.6 	0.5 	1.1 	1.2 	1.6 	0.8 	0.6 	: 
M,RCH_M,CP0941,EE	1.1 	0.2 	-0.2 	0.2 	0.3 	1.7 	2.5 	0.8 	0.5 	: 
M,RCH_M,CP09411,EE	0.0 	-0.6 	-2.5 	0.1 	0.1 	4.1 	1.3 	2.6 	0.4 	: 
M,RCH_M,CP09412,EE	1.3 	0.4 	0.1 	0.3 	0.3 	1.2 	2.8 	0.4 	0.5 	: 
M,RCH_M,CP0942,EE	3.0 	-0.9 	-1.2 	0.8 	2.3 	0.5 	0.1 	0.8 	0.7 	: 
M,RCH_M,CP09421,EE	5.2 	-4.8 	-1.9 	1.5 	4.2 	-1.0 	0.1 	1.3 	1.2 	: 
M,RCH_M,CP09422,EE	0.0 	-0.8 	-0.8 	0.0 	0.0 	6.9 	0.0 	0.0 	0.0 	: 
M,RCH_M,CP09423,EE	0.0 	11.1 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	: 
M,RCH_M,CP09425,EE	0.1 	0.0 	0.0 	0.0 	0.0 	0.1 	0.0 	0.0 	0.0 	: 
M,RCH_M,CP095,EE	2.1 	-0.3 	0.5 	2.1 	-0.7 	-0.5 	1.5 	-1.0 	6.3 	: 
M,RCH_M,CP0951,EE	8.4 	-0.8 	-1.2 	2.1 	-2.2 	-2.6 	2.1 	-2.6 	9.2 	: 
M,RCH_M,CP09511,EE	12.6 	-1.3 	-1.8 	2.9 	-2.6 	-4.3 	4.8 	-4.4 	13.1 	: 
M,RCH_M,CP09513,EE	0.2 	0.3 	0.1 	0.4 	-1.3 	1.0 	-3.5 	1.3 	1.1 	: 
M,RCH_M,CP0952,EE	0.9 	0.0 	-0.8 	3.4 	0.0 	2.8 	0.0 	-0.8 	4.4 	: 
M,RCH_M,CP09521,EE	0.5 	0.0 	-0.5 	2.3 	0.0 	5.2 	0.0 	-0.5 	2.5 	: 
M,RCH_M,CP09522,EE	1.3 	0.0 	-1.3 	4.7 	0.0 	0.0 	0.0 	-1.3 	6.8 	: 
M,RCH_M,CP0953_0954,EE	-3.2 	0.0 	4.7 	0.3 	-0.1 	-2.7 	3.6 	1.8 	4.6 	: 
M,RCH_M,CP0954,EE	-3.2 	0.0 	4.7 	0.3 	-0.1 	-2.7 	3.6 	1.8 	4.6 	: 
M,RCH_M,CP09541,EE	-4.9 	4.8 	1.3 	-0.1 	-0.5 	-2.6 	1.3 	4.1 	7.1 	: 
M,RCH_M,CP09549,EE	-2.2 	-2.8 	6.9 	0.6 	0.2 	-2.8 	5.6 	-0.1 	2.3 	: 
M,RCH_M,CP096,EE	0.6 	-2.3 	3.7 	-6.1 	9.4 	-14.6 	10.7 	-2.2 	8.7 	: 
M,RCH_M,CP09602,EE	0.6 	-2.3 	3.7 	-6.1 	9.4 	-14.6 	10.7 	-2.2 	8.7 	: 
M,RCH_M,CP10,EE	0.1 	1.2 	0.0 	0.4 	0.0 	0.4 	0.2 	0.0 	0.1 	: 
M,RCH_M,CP101,EE	0.3 	-0.1 	0.0 	0.0 	0.0 	1.2 	0.7 	0.0 	0.0 	: 
M,RCH_M,CP10101,EE	0.3 	-0.1 	0.0 	0.0 	0.0 	1.2 	0.7 	0.0 	0.0 	: 
M,RCH_M,CP104,EE	0.0 	2.1 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	: 
M,RCH_M,CP105,EE	0.0 	1.1 	0.0 	1.6 	0.1 	0.0 	0.0 	0.0 	0.6 	: 
M,RCH_M,CP11,EE	-0.2 	-3.6 	-1.2 	0.4 	0.4 	0.9 	1.7 	0.9 	4.2 	: 
M,RCH_M,CP111,EE	1.6 	0.1 	0.2 	0.6 	0.6 	0.7 	1.6 	1.0 	1.4 	: 
M,RCH_M,CP1111,EE	1.1 	0.4 	0.4 	0.8 	0.2 	0.5 	1.4 	1.1 	1.3 	: 
M,RCH_M,CP11111,EE	1.2 	0.3 	0.4 	0.8 	0.2 	0.5 	1.3 	1.1 	1.6 	: 
M,RCH_M,CP11112,EE	0.6 	0.6 	0.2 	0.8 	0.3 	0.5 	1.4 	1.1 	0.9 	: 
M,RCH_M,CP1112,EE	3.4 	-0.6 	-0.1 	0.1 	1.5 	1.5 	2.5 	0.3 	1.8 	: 
M,RCH_M,CP112,EE	-4.6 	-12.7 	-5.1 	-0.5 	-0.1 	1.2 	1.9 	0.9 	9.4 	: 
M,RCH_M,CP11201,EE	-5.4 	-14.6 	-6.0 	-0.6 	-0.1 	1.2 	2.1 	0.9 	10.1 	: 
M,RCH_M,CP11203,EE	0.9 	0.0 	0.0 	0.0 	0.0 	0.8 	0.0 	0.0 	0.2 	: 
M,RCH_M,CP12,EE	1.3 	0.6 	-0.5 	0.4 	0.7 	1.1 	1.2 	1.1 	1.2 	: 
M,RCH_M,CP121,EE	2.2 	0.8 	-1.2 	0.0 	1.2 	1.0 	0.9 	1.5 	0.2 	: 
M,RCH_M,CP1211,EE	0.1 	1.2 	0.8 	0.5 	1.5 	1.2 	0.0 	3.7 	0.2 	: 
M,RCH_M,CP12111,EE	0.4 	2.1 	0.9 	0.8 	1.0 	1.0 	0.3 	2.4 	1.2 	: 
M,RCH_M,CP12112,EE	0.0 	1.3 	0.2 	0.5 	1.8 	1.2 	0.0 	4.6 	0.0 	: 
M,RCH_M,CP12113,EE	0.2 	0.2 	2.7 	0.2 	0.8 	1.2 	0.0 	1.7 	0.0 	: 
M,RCH_M,CP1212,EE	0.3 	-0.8 	0.1 	1.7 	-0.1 	-1.6 	-0.3 	0.2 	1.2 	: 
M,RCH_M,CP12121,EE	0.3 	-0.8 	0.1 	1.7 	-0.1 	-1.6 	-0.3 	0.2 	1.2 	: 
M,RCH_M,CP1212_1213,EE	3.0 	0.7 	-2.0 	-0.2 	1.1 	1.0 	1.2 	0.6 	0.2 	: 
M,RCH_M,CP1213,EE	3.1 	0.7 	-2.1 	-0.2 	1.1 	1.0 	1.2 	0.6 	0.2 	: 
M,RCH_M,CP12131,EE	0.9 	-0.1 	1.0 	1.5 	-1.1 	0.0 	0.1 	0.0 	-0.1 	: 
M,RCH_M,CP12132,EE	3.2 	0.8 	-2.3 	-0.4 	1.3 	1.1 	1.3 	0.6 	0.2 	: 
M,RCH_M,CP123,EE	1.3 	-0.3 	0.4 	0.8 	-0.3 	1.3 	2.2 	1.5 	-0.1 	: 
M,RCH_M,CP1231,EE	0.2 	-1.1 	-0.9 	0.0 	1.7 	0.6 	2.0 	3.0 	0.0 	: 
M,RCH_M,CP12311,EE	-0.4 	-1.9 	-1.6 	0.0 	3.1 	0.5 	1.6 	3.7 	-0.2 	: 
M,RCH_M,CP12312,EE	1.7 	0.1 	0.6 	-0.3 	-1.2 	0.7 	3.6 	-0.9 	0.9 	: 
M,RCH_M,CP12313,EE	0.0 	1.7 	0.0 	0.8 	0.0 	2.1 	3.4 	0.0 	0.7 	: 
M,RCH_M,CP1232,EE	1.7 	0.1 	1.0 	1.1 	-1.1 	1.7 	2.3 	0.7 	-0.1 	: 
M,RCH_M,CP12321,EE	0.6 	-1.5 	1.4 	2.4 	-0.1 	1.5 	-0.7 	2.0 	-1.3 	: 
M,RCH_M,CP12322,EE	-0.1 	-0.1 	2.0 	-0.8 	0.6 	-0.9 	0.6 	-2.4 	0.1 	: 
M,RCH_M,CP12329,EE	3.3 	1.5 	0.3 	0.8 	-2.6 	2.4 	4.1 	0.9 	0.4 	: 
M,RCH_M,CP124,EE	0.2 	0.5 	0.0 	0.0 	0.3 	0.7 	0.1 	0.2 	5.0 	: 
M,RCH_M,CP12402,EE	0.2 	0.5 	0.0 	0.0 	0.3 	0.7 	0.1 	0.2 	5.0 	: 
M,RCH_M,CP125,EE	0.0 	1.5 	1.0 	2.5 	0.5 	1.4 	4.3 	0.6 	4.1 	: 
M,RCH_M,CP1252,EE	-0.4 	1.9 	0.0 	0.1 	0.1 	0.0 	5.0 	2.8 	6.1 	: 
M,RCH_M,CP1254,EE	0.1 	1.5 	1.3 	3.6 	0.2 	1.8 	3.9 	0.2 	4.2 	: 
M,RCH_M,CP12541,EE	0.1 	1.6 	1.4 	3.9 	0.0 	0.8 	4.7 	-0.3 	4.4 	: 
M,RCH_M,CP12542,EE	0.0 	-0.3 	0.2 	0.9 	2.0 	7.8 	0.0 	2.9 	3.4 	: 
M,RCH_M,CP1255,EE	-0.5 	0.9 	0.0 	-2.3 	3.6 	0.0 	7.0 	1.4 	0.5 	: 
M,RCH_M,CP126,EE	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	: 
M,RCH_M,CP12621,EE	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	: 
M,RCH_M,CP127,EE	0.1 	0.0 	0.2 	0.2 	-0.1 	1.2 	0.6 	0.3 	0.1 	: 
M,RCH_M,CP12701,EE	0.0 	0.0 	0.0 	0.0 	0.0 	1.5 	0.0 	0.0 	0.0 	: 
M,RCH_M,CP12702,EE	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	: 
M,RCH_M,CP12703,EE	0.0 	0.3 	1.4 	0.0 	-0.7 	0.6 	1.8 	1.6 	0.0 	: 
M,RCH_M,CP12704,EE	0.5 	0.0 	0.3 	1.0 	0.0 	0.8 	2.0 	0.4 	0.5 	: 
M,RCH_M,EDUC_HLTH_SPR,EE	0.2 	0.2 	0.5 	0.3 	0.7 	1.4 	0.3 	0.4 	0.7 	: 
M,RCH_M,ELC_GAS,EE	0.6 	13.3 	-8.1 	9.5 	34.7 	-12.8 	-5.3 	4.6 	32.0 	: 
M,RCH_M,FOOD,EE	0.7 	-0.4 	-0.5 	1.5 	-0.3 	3.3 	3.2 	1.2 	1.9 	: 
M,RCH_M,FOOD_NP,EE	-1.0 	-1.7 	-4.6 	1.9 	1.2 	4.6 	6.7 	3.0 	3.9 	: 
M,RCH_M,FOOD_P,EE	1.0 	-0.1 	0.3 	1.5 	-0.6 	3.0 	2.5 	0.8 	1.5 	: 
M,RCH_M,FOOD_P_X_ALC_TBC,EE	1.2 	-0.2 	-0.1 	2.0 	-0.6 	3.7 	3.0 	0.9 	1.9 	: 
M,RCH_M,FOOD_S,EE	-2.6 	-2.2 	-6.5 	1.7 	2.3 	6.2 	10.2 	3.1 	3.4 	: 
M,RCH_M,FUEL,EE	-0.1 	0.4 	6.9 	2.5 	-2.8 	3.2 	6.3 	18.7 	-3.8 	: 
M,RCH_M,GD,EE	0.7 	2.1 	-0.4 	2.4 	4.1 	-0.6 	1.5 	3.2 	4.5 	: 
M,RCH_M,IGD,EE	0.7 	3.7 	-0.3 	3.0 	6.9 	-2.9 	0.4 	4.5 	6.1 	: 
M,RCH_M,IGD_NNRG,EE	0.9 	1.5 	0.9 	1.2 	0.2 	-0.7 	0.9 	1.5 	1.1 	: 
M,RCH_M,IGD_NNRG_D,EE	0.7 	1.0 	1.5 	1.4 	1.1 	-0.3 	1.0 	0.8 	1.1 	: 
M,RCH_M,IGD_NNRG_ND,EE	0.9 	0.5 	-0.3 	1.0 	0.6 	1.6 	0.8 	1.3 	0.9 	: 
M,RCH_M,IGD_NNRG_SD,EE	1.2 	3.1 	1.5 	1.3 	-1.1 	-3.0 	0.8 	2.3 	1.4 	: 
M,RCH_M,NRG,EE	0.3 	8.1 	-2.6 	6.6 	20.0 	-6.9 	-0.6 	10.7 	15.4 	: 
M,RCH_M,NRG_FOOD_NP,EE	0.0 	5.6 	-3.1 	5.5 	15.7 	-4.4 	1.1 	8.8 	12.7 	: 
M,RCH_M,NRG_FOOD_S,EE	-0.2 	6.2 	-3.2 	5.8 	17.1 	-5.0 	1.1 	9.4 	13.4 	: 
M,RCH_M,SERV,EE	0.6 	-1.0 	0.1 	0.0 	0.7 	0.3 	1.1 	1.2 	3.2 	: 
M,RCH_M,SERV_COM,EE	0.0 	-0.5 	0.0 	0.0 	-2.2 	-0.5 	0.0 	1.3 	0.0 	: 
M,RCH_M,SERV_HOUS,EE	1.8 	0.5 	1.5 	-0.7 	0.3 	2.3 	-0.7 	2.0 	6.8 	: 
M,RCH_M,SERV_MSC,EE	0.2 	0.4 	0.2 	0.3 	1.1 	0.9 	0.5 	0.1 	1.7 	: 
M,RCH_M,SERV_REC,EE	0.3 	-2.3 	-0.6 	0.0 	1.1 	-0.6 	2.3 	0.9 	3.5 	: 
M,RCH_M,SERV_REC_HOA,EE	-3.5 	-10.4 	-3.0 	-2.0 	2.3 	-4.0 	4.5 	-0.1 	9.2 	: 
M,RCH_M,SERV_REC_X_HOA,EE	1.5 	0.2 	0.1 	0.6 	0.8 	0.9 	1.4 	1.3 	1.0 	: 
M,RCH_M,SERV_TRA,EE	1.4 	-2.4 	-0.4 	0.5 	3.0 	-0.4 	2.4 	2.4 	3.1 	: 
M,RCH_M,TOT_X_ALC_TBC,EE	0.7 	1.3 	-0.3 	1.9 	3.4 	-0.4 	1.3 	2.8 	4.4 	: 
M,RCH_M,TOT_X_AP,EE	0.7 	0.1 	0.6 	1.1 	0.0 	1.1 	2.1 	2.6 	1.8 	: 
M,RCH_M,TOT_X_APF,EE	0.7 	1.2 	-0.2 	1.8 	3.2 	-0.3 	1.3 	2.7 	4.2 	: 
M,RCH_M,TOT_X_APM,EE	0.7 	0.1 	0.6 	1.1 	0.0 	1.1 	2.1 	2.6 	1.8 	: 
M,RCH_M,TOT_X_EDUC_HLTH_SPR,EE	0.7 	1.3 	-0.3 	1.9 	3.4 	-0.5 	1.4 	2.8 	4.4 	: 
M,RCH_M,TOT_X_FOOD_S,EE	0.8 	1.3 	0.0 	1.8 	3.2 	-0.5 	1.1 	2.6 	4.2 	: 
M,RCH_M,TOT_X_FUEL,EE	0.7 	1.2 	-0.7 	1.7 	3.6 	-0.6 	1.0 	1.6 	4.8 	: 
M,RCH_M,TOT_X_HOUS,EE	0.7 	0.1 	0.5 	1.2 	-0.1 	1.0 	2.2 	2.5 	1.3 	: 
M,RCH_M,TOT_X_NRG,EE	0.7 	0.1 	0.2 	0.9 	0.2 	0.9 	1.7 	1.3 	2.1 	: 
M,RCH_M,TOT_X_NRG_FOOD,EE	0.8 	0.3 	0.5 	0.6 	0.4 	-0.2 	1.0 	1.3 	2.1 	: 
M,RCH_M,TOT_X_NRG_FOOD_NP,EE	0.9 	0.2 	0.4 	0.9 	0.1 	0.7 	1.4 	1.2 	1.9 	: 
M,RCH_M,TOT_X_NRG_FOOD_S,EE	0.9 	0.2 	0.4 	0.9 	0.1 	0.7 	1.4 	1.2 	2.0 	: 
M,RCH_M,TOT_X_TBC,EE	0.7 	1.2 	-0.3 	1.8 	3.3 	-0.4 	1.3 	2.7 	4.2 	: 
